Bulbasaur; BUL-buh-sore
Ivysaur; EYE-vee-sore
Venusaur; VEE-nuh-sore
Charmander; CHAR-man-der
Charmeleon; char-MEAL-ee-ehn
Charizard; CHAR-i-zard
Squirtle; SKWUR-tull
Wartortle; WAR-tor-tull
Blastoise; BLAST-oys
Caterpie; CAT-er-pee
Metapod; MET-uh-pod
Butterfree; BUT-er-free
Weedle; WEE-dull
Kakuna; ka-KOO-nah
Beedrill; BEE-drill
Pidgey; PID-jee
Pidgeotto; pid-JYO-toe
Pidgeot; PID-jit
Rattata; ruh-TA-tah
Raticate; RAT-i-kate
Spearow; SPEER-oh
Fearow; FEER-oh
Ekans; ECK-ehns
Arbok; AR-bock
Pikachu; PEEK-uh-chew
Raichu; RYE-chew
Sandshrew; SAND-shrew
Sandslash; SAND-slash
Nidoran; nee-door-ANN
Nidorina; nee-door-EE-nuh
Nidoqueen; nee-doe-QUEEN
Nidoran; nee-door-ANN
Nidorino; nee-door-EE-no
Nidoking; nee-doe-KING
Clefairy; cluh-FAIR-ee
Clefable; cluh-FAY-bull
Vulpix; VULL-picks
Ninetales; NINE-tails
Jigglypuff; jig-lee-PUFF
Wigglytuff; wig-lee-TUFF
Zubat; ZOO-bat
Golbat; GOAL-bat
Oddish; ODD-ish
Gloom; GLOOM
Vileplume; VILE-ploom
Paras; PAR-iss Bonjour
Parasect; PAR-i-sekt
Venonat; VENN-oh-nat
Venomoth; VENN-oh-moth
Diglett; DIG-let
Dugtrio; dug-TREE-oh
Meowth; me-OUTH
Persian; PURR-shin
Psyduck; SYE-duck
Golduck; GOAL-duck
Mankey; MANK-ee
Primeape; RIME-ape
Growlithe; GROWL-ith
Arcanine; ar-kuh-NINE
Poliwag; POL-ee-wag
Poliwhirl; POL-ee-wurl
Poliwrath; POL-ee-rath
Abra; AB-ruh
Kadabra; kah-DAB-ruh
Alakazam; AL-uh-kuh-ZAM
Machop; mah-CHOP
Machoke; mah-CHOKE
Machamp; mah-CHAMP
Bellsprout; BELL-sprout
Weepinbell; WEEP-in-bell
Victreebel; VICK-tree-bell
Tentacool; TENT-uh-cool
Tentacruel; TENT-uh-crool
Geodude; GEE-oh-dood
Graveler; GRAV-el-er
Golem; GOAL-um
Ponyta; po-NEE-tuh
Rapidash; RAP-i-dash
Slowpoke; SLOW-poke
Slowbro; SLOW-bro
Magnemite; MAG-nuh-mite
Magneton; MAG-nuh-ton
Farfetch'd; FAR-fetcht
Doduo; DOE-doo-oh
Dodrio; doe-DREE-oh
Seel; SEEL
Dewgong; DOO-gong
Grimer; GRIME-er
Muk; MUCK
Shellder; SHELL-der
Cloyster; CLOY-stir
Gastly; GAST-lee
Haunter; HAWN-ter
Gengar; GANG-gar
Onix; ON-icks
Drowzee; DROW-zee
Hypno; HIP-no
Crabby; CRA-bee
Kingler; KING-ler
